"txtDepartment";"txtCategory";"boxQuestion";"boxAnswer"
"Human Resources";"Examination FAQs";"Where will the examination be held?
";"You will be provided the location by email. "
"Human Resources";"Examination FAQs";"When will I receive my test scores?";"Test scores will be emailed to you within a few weeks of taking the examination.  Test scores are not given out over the telephone or in person."
"Human Resources";"Examination FAQs";"If I do not pass the exam may I take it again?
";"Washoe County has a 60- day test retake policy.  This means that you may re-take an exam after 60 days, if that particular exam is being offered again.   You can only test for a position when it is open for recruitment.  We keep your most recent score, whether higher or lower.  In some cases you are not required to retest, however, if this position is open again after 60 days, you are scheduled to take the same test, you will be notified and you may make the decision whether or not to retest."
"Human Resources";"General Application FAQs";"What types of jobs are available?";"Washoe County has over 300 different classifications of positions performing a wide variety of job duties. The County offers a comprehensive benefit package to full-time employees hired in authorized positions. Washoe County accepts applications only for positions for which we are actively recruiting.

Vacant firefighter positions are filled using an eligibility list. We do not accept applications for firefighter unless we are updating our eligibility listing through the open recruitment process. The open recruitment for firefighter is advertised through our online application system--check it frequently. Navigate to the Sierra Fire District webpage to learn more about the requirements for firefighter positions. 

Sheriff`s Office vacancies are also advertised on the County`s online application system. To learn more about the job requirements for deputy sheriff recruit, navigate to the Sheriff`s Office webpage under Careers @ Washoe County.
"
"Human Resources";"General Application FAQs";"How do I find out what jobs are available?
";"Visit our online website to search for jobs that are currently available.  A list of available positions can be viewed 24 hours a day at www.washoecounty.us/humanresources."
"Human Resources";"General Application FAQs";"When will a certain job open?";"There is no sure method of knowing when a classification will be opened.  Your best sources for up-to-date information is to go to the Job Opportunities web page at www.washoecounty.us/humanresources/careers/jobs.htm.  "
"Human Resources";"General Application FAQs";"Who do I contact for further information about the classification?
";"If you have additional questions after reviewing the job posting, please contact the Recruiting Analyst whose email address and telephone number is listed on the job information. "
"Human Resources";"General Application FAQs";"Can I obtain a blank application form to fill out although there are no current jobs I want to apply for?
";"No.  Washoe County only accepts online application for current open vacancies.  There are often supplemental questionnaires, written essay exams, or special instructions that go with specific job postings.  If an application is submitted without these attachments, you may be disqualified from the exam process."
"Human Resources";"General Application FAQs";"Where can I complete an application?";"Applications are accepted via our online application system. Using the Internet, you may go to http://careers.washoecounty.us  to register with our online application system. Once you have registered, you may apply for any of the open positions listed on the Job Opportunities page--simply click on `Apply Online` and apply for the position via the Internet.

Kiosks are set up in the Human Resources lobby for those without Internet access."
"Human Resources";"General Application FAQs";"The job requires a typing or data entry certificate.  Where do I obtain one?
";"If a typing or data entry certificate is required for a specific job, a typing voucher and a listing of authorized agencies will be provided to you.  You must contact one of the authorized agencies listed to schedule your test. Typing/data entry certificates will only be accepted from the agencies listed. "
"Human Resources";"General Application FAQs";"Is there a filing deadline for my application?
";"Some recruitments are \"open until further notice,\" meaning official Washoe County employment applications will be taken until further notice as no deadline has been set. Recruitments are announced this way when it is unknown how long it will take to obtain a sufficient number of applications.

Jobs experiencing frequent turnover also necessitate leaving a recruitment open to accept applications continuously. Other recruitments have a closing date on the announcement, which means there is a deadline for filing applications. This procedure is followed when it is certain that a sufficient number of applications will be received within a specified time. It is important to note this information when applying in order to submit your official application before the deadline. In either case, it is in your best interest to return application materials promptly.
"
"Human Resources";"General Application FAQs";"I missed the deadline - can I still apply?
";"As with any open position, once a closing date (deadline) has passed, no applications will be accepted. Please continue to visit the Job Opportunities page and apply for new jobs as they become available."
"Human Resources";"General Application FAQs";"Will I be notified either way if I have met the training and experience qualifications?
";"You will be notified via email within a few weeks of the closing date of the job posting notifying you that: A) you have met the qualifications and you are proceeding to the examination, or B) your application did not indicate that you have the necessary qualifications for the job.  The Department of Human Resources generally will not call you. 

If you believe that the Department of Human Resources has failed to correctly evaluate your qualifications, you may file a request for review within 5 working days of the notification date.

"
"Human Resources";"General Application FAQs";"I`ve been working for the County for a long time. Why do I have to fill out an application?
";"Applications are required of each person applying for a position. It is likely that you may have acquired additional skills, experience and education since you originally applied that should be considered. In addition, completing an online application ensures your qualifications and personal information will be documented and ensures accurate applicant tracking information for every position.
"
"Human Resources";"General Application FAQs";"Where can I find out information about employment with Washoe County School District?
";"Visit the Washoe County School District`s web site at http://www.washoe.k12.nv.us."
"Human Resources";"General Application FAQs";"How do I access my previous application?  How do I change personal contact information?";"Please log into the online application system using the link listed below.  Washoe County employees: your log in information is the same as your network log in.  For non county applicants: your login information is the user id and password you created when you applied online.  Once you log in, you may ONLY update your contact information (address, city, state, zip code, phone number and email address).  

Please note:  You will be able to view the list of positions you have previously applied for and your online applications,  however,  you may not make any changes to the online application if the position you applied for is no longer open online.


https://recruit.washoecounty.us/webdynpro/dispatcher/local/ApplicantPortal/ApplicantPortal

"
"Human Resources";"Interview and Selection FAQs";"When will I be notified for an interview?
";"As vacancies occur, the Department of Human Resources refers a list of eligible candidates to a hiring department. Interview notices may be emailed to the eligible candidates requesting that they contact the department to schedule an interview.
"
"Human Resources";"Interview and Selection FAQs";"Where am I ranked on the eligible list?
";"Names are ranked on the eligible list in score order.
"
"Human Resources";"Interview and Selection FAQs";"Can my rank ever change?
";"There are some ways your rank may change. First of all, if the examination is open continuous, new names will be added to the list each time the tests are administered. If another applicant scores higher than you, this will lower your rank. However, it is also possible for you to advance higher on the eligible list as others are hired, find other jobs, or lose interest. "
"Human Resources";"Interview and Selection FAQs";"How long do lists of qualified candidates last?";"Most lists remain active for at least 1 year, but no longer than 3 years.  If a list is being replaced you may be notified to reapply and retest.  "
"Human Resources";"Interview and Selection FAQs";"Who do I contact for an address/phone number change?
";"If you are a registered user, you can access and update your personal information by going to the confirmation email you received when you applied online and log on to the link provided.   You may update your address, telephone number, email address on this page.  You will NOT be able to change application information unless the recruitment is still open.  

Since most of the information we will send you will require you to respond immediately, it is very important to keep this information up-to-date."
"Human Resources";"Online Application FAQs";"How do I apply for a job?";"The online application process has four steps:
(1) Reviewing the job listing and selecting \"Apply Online\" for the position of interest.
(2) Registering by creating a log on user ID and password. This will enable you to come back and apply for additional positions as well as check on the status of a position.
(3) Creating, completing, certifying and submitting your online application.
(4) Application confirmation received in the inbox of your registered email address that will include your Applicant ID number.

It's important that you read and follow all instructions carefully.  Review the Job Opportunities web page to find any open positions that interests you. Once you identify an open position of interest, click on the job title to bring up the Job Announcement, click on the Required Additional Information link for exam and specific requirements  for the position. Review the details and if you meet the qualifications and would like to apply to the posting, click on the associated link that says \"Apply Online\". This will begin the application process. Once the application is completed, you will receive a confirmation number via email. This email confirms that we received your application for this position. 

Be sure to remember your user ID and password so you can log back on to the system at a future time. You should make a note of these and keep it handy. You should NOT create a second account. If you forget your user ID and/or password, please contact careers@washoecounty.us.

"
"Human Resources";"Online Application FAQs";"What if I do not have a computer or access to the web?";"There are several ways you can still get access to our online application system: 

PCs located in the Human Resources Department`s main lobby (located in the Administration Building) at the Washoe County Complex, 1001 East Ninth Street, Suite 220, Reno 89512 Monday through Friday, 8:00 a.m. until 5:00 p.m.

Washoe County Public Libraries

Nevada Job Connect Centers.

Public community colleges and universities.

Internet cafes.
"
"Human Resources";"Online Application FAQs";"How long does it take to complete the online application?";"The time it takes depends on several factors including the amount of work experience and education you have to enter, how fast you can type, whether you copy and paste information, etc. You should allow 20-45 minutes for the total process. However, you can speed up the process by collecting important information about previous work experience, education, certifications, etc. before you start creating your application. If you find you are missing a piece of information requested on the application, you may be able to skip the field and go back later to complete it. If you decide to do this, it is important that you return and complete the missing information BEFORE you submit your application for a specific job opening. The information on your application when you apply will be used to evaluate your qualifications for the job opening for which you apply--make sure it is accurate and contains all information requested as well as any specific attachments that are required."
"Human Resources";"Online Application FAQs";"What are the advantages of using the online application system?";"There are a number of advantages to using the new online application system. Some of these include: 
The ability to save your application form online for re-use on future job openings; 
The ability to update your online application with specific skills and experience related to the posting; 
The ability to access and review the job requirements while completing the application; 
The ability to submit your application immediately and directly to the County, minimizing the risk of missing a deadline or loss of the application; 
The closing date (deadline) has been extended from close of business at 5:00 pm until midnight --giving you extra time to apply. 
The online application saves time when you want to apply for multiple jobs at one time, or apply for several positions throughout the year; 
The ability to keep track of the status of your application and the recruitment process; 
The ability to learn about job openings and apply for positions at any time and from any computer with access to the web."
"Human Resources";"Online Application FAQs";"Can I apply by sending my application via mail?";"Now that we have transitioned to the online system, all applications need to be completed using the online application system. "
"Human Resources";"Online Application FAQs";"Can I apply for more than one job at a time?";"Yes, once you have completed your online application through our online application system, you can apply to multiple positions that are currently open and on the Job Opportunities web page. Even days or weeks later, all you have to do to apply for another job is to log back on to the online application system and apply--the application you originally submitted will still be in the system available for you to update and/or submit for another job opening."
"Human Resources";"Online Application FAQs";"How do I print my application?";"After submitting your application, you will have the option to view and print your completed application by selecting `Print Preview` at the bottom of the application form. Selecting the `Print Preview` button will redirect you to the print preview page. Using the tool bar at the top of your web browser, click on File | Print (or use Ctrl+P) and follow the prompts on the screen to print . Tip: To optimally print the application, ensure that left and right margins are set to 0.2 by going to  File | Page Setup. 

To return to the application form, select the `Cancel Print Preview` button (Do NOT use your web broswer `Back` button). You will be redirected back and will be able to continue to `Submit Application`."
"Human Resources";"Online Application FAQs";"Can I save my application before I finish completing it?";"No.  The system requires that you complete all of the required fields notated with a red asterisk in order for the application to be submitted.  It is recommended that you schedule enough time to complete the application in one session as the system will time-out after 45 minutes of inactivity. "
"Human Resources";"Online Application FAQs";"Can someone help me complete the online application?";"HR staff members are available to help applicants get started and to answer questions about the online application system for applicants. Visit the Human Resources Department at the Washoe County Complex, Administration Building, on 1001 E. Ninth Street, Monday-Friday, 8:00 am-5:00 pm or call 775-328-2081."
"Human Resources";"Online Application FAQs";"How does the application process work?
";"Applicants can complete their applications online at www.washoecounty.us/humanresources from any computer with Internet access. After the closing date, applications will be screened by the recruitment staff and all applicants will be notified by email of their results.  You may check the status of your application after the closing date by visiting our online application system. "
"Human Resources";"Online Application FAQs";"I am having a technical problem with my computer that is stopping me from completing the application or applying for a job. What can I do?";"Be sure you are using either Internet Explorer 6 or 7, or Firefox 1.0 or higher. You may e-mail careers@washoecounty.us with the specific problem and someone from Applicant Support will assist you. In the event of an approaching deadline, computers are available at the Human Resources Department (Washoe County Complex, E. Ninth Street). Washoe County employees can access the online system through their desktop computer or through any of the available kiosks. In addition, computers are available at most worksites with the authorization of a supervisor."
"Human Resources";"Online Application FAQs";"I get a blank screen. What can I do?
";"Be sure you are using one of the supported versions of Internet Explorer or Firefox.   Also, under your browser internet options, you need to have cookies and javascript \"enabled.\" If you are still having difficulties e-mail us at careers@washoecounty.us with the specific problem and someone from Applicant Support will assist you.
"
"Human Resources";"Online Application FAQs";"I liked the old way better, why did you change to the online system?";"The benefits of the online process to applicants, hiring departments and the County far outweigh the advantages of staying with our manual application process.

The online process reduces the process time from when a job is listed to when applications are received thus reducing the time it takes to fill a position. It also reduces the redundant work of processing, printing, copying and distributing paper applications/resumes. It provides more consistent applicant tracking information and the ability to search and utilize applications on file.

"
"Human Resources";"Online Application FAQs";"Who will see my application if I use the online application system?
";"Your application is on a secure web server and will be available to the Human Resources Department and the interviewer(s) for the specific job opening for which you apply. If the same position becomes available in a different department or with a different supervisor, your application may be reviewed for that opening by the responsible supervisor. Washoe County does not share its database with other companies or localities.
"
"Juvenile Services";;"How do I find out if I have a warrant?";"You must contact Washoe County Juvenile Services during normal business hours at 325-7800 and ask to speak with our warrant staff. "
"Juvenile Services";;"My child was arrested and I would like a copy of the police report?";"Due to confidentiality, police reports cannot be released by this department. You may however contact the District Attorney`s office at 328-3200 to request a copy. "
"Juvenile Services";;"What are the detention center visiting requirements?";"complete visiting requirements can be found on <a href=\"/juvenilesvs/visitation.html\">the detention page</a>"
"Juvenile Services";;"What time and day is court held? ";"Court is held every business day. If you have lost your paperwork, contact your assigned probation officer.  It is your responsibility to attend your court hearing. There are no excuses allowed for missing court. "
"Juvenile Services";;"What happens after my child has been cited or arrested? ";"<a href=\"/juvenilesvs/caseprocessing.html\">information after arrest or citation</a>"
"Juvenile Services";;"Where can I get help with my child?";"Our Department offers assistance to parents through the McGee Center at 856-4600, or please see the McGee Center Referral form. You may fill out that form online and a Case Manager will contact you.  There are also many resources available in the community.  <a href=\"/juvenilesvs/resource.html\">Resource List</a>  "
"Juvenile Services";;"Can I bring my child on a tour of Wittenberg Hall?";"Due to the confidential nature of our facility, tours are not available for the general public. <a href=\"/juvenilesvs/wittenberg.html\">Get further information about detention services</a>. "
"Juvenile Services";;"What if I refuse to pick up my child?";"Juvenile Services understands that raising children can be difficult. We want you to know that a priority response unit is available to help you and your family. For further assistance please contact 325-7938. However, if you refuse to pick up your child once they have be authorized for release, you will be charged $100.75 per day until the initial detention hearing. "
"Juvenile Services";;"What happens to my juvenile record?";"While you are a juvenile your record is active and available to the department. However, most juvenile records are confidential and cannot be accessed by others. Juvenile records can be sealed under certain circumstances. If you would like further information please see <a href=\"http://www.washoecounty.us/defender\" target=_blank>www.washoecounty.us/defender</a>.
"
"Juvenile Services";;"Can I request a copy of my juvenile record?";"The Department of Juvenile Services is unable to honor requests for release of juvenile records without a Court Order.  If you are at least 18 years of age, you may petition the Family Court for the release of your legal history.  Any other interested party over the age of 18 can also make the request.  A <a href=\"/repository/files/35/Release%20of%20Records%20Pet%20Request.doc\" target=_blank>Petition form</a> and <a href=\"/repository/files/35/Release%20Records%20Order%20Granting%20Pet%20to%20Release.doc\" target=_blank>Court Order</a> must be completed - please note that the Petition must be signed in the presence of a Notary (we have many Notaries in our office for your convenience).  Upon completion of these documents, they will be sent to the Washoe County Court House at 1 South Sierra, 3rd floor.  The Judge will then review the request, and if he/she agrees that the records should be released, the Court Order will be signed and returned to our office.  Upon receipt of the signed Court Order, we will prepare the requested legal history and mail it or fax it.  This process typically take two to three weeks.  "
"Juvenile Services";;"Why do I have to come get my child?";"The purpose of detention is to keep the community secure from high risk offenders. It is not to \"teach a lesson\". National studies have shown that incarceration is not the answer. If you have been told you must pick up your child, it is because your child has not met the risk criteria to stay detained. Please be assured however, that your child`s case will be dealt with in a timely fashion. <a href=\"/juvenilesvs/detention.html\">Further information about Juvenile Services</a>

Please be aware if your child is arrested and authorized for release, but you refuse custody of your child the cost per day is $100.75."
"Juvenile Services";;"What is the purpose of probation?";"The purpose of probation is to provide supervison of youth to ensure they comply with the orders of the court. "
"Juvenile Services";;"How much does it cost if my child is detained at Wittenberg Hall?";"Once a youth is arrested and detained, the parent/guardian is charged $30.00 a day until the initial detention hearing. Detention hearings occur within 24 hours each day Monday through Friday.  There are no detention hearings on the weekend. Once the initial detention hearing has occurred and the youth remains in detention, the parent is no longer responsible for payment. 

If your child is arrested and authorized for release, but you refuse custody of your child the cost per day is $100.75."
"Juvenile Services";;"What is the difference between juvenile and adult court process?";"The main difference between the adult and juvenile system is the concept of Rehabilitation. Washoe County Juvenile Services is committed to helping youthful offenders better themselves by offering a multitude of services and accountability. While community protection is of the utmost importance, youthful offenders are an important part of that community and as such deserve all the resources available to them. <a href=\"/juvenilesvs/jdai.html\">Learn more about the alternatives to detention</a>. "
"Juvenile Services";;"What are status rights?";"Status rights are the Rights associated with youth that are charged with offense based on their \"status\". In other words, offenses that would not apply to an adult such as, Runaway, CHINS (Child in Need of Supervision), Incorrigible, Curfew and Truancy. The Supreme Court has ruled that children not on probation cannot be housed in a detention facility. Other options are available to status offenders at the McGee Center. "
"Juvenile Services";;"Can I give up custody of my child?";"Giving up custody of your child comes with some serious consequences.  If you would like more information, please call Washoe County Department of Social Services at 785-8600. "
"Juvenile Services";;"What is emancipation?";"<a href=\"emancipation.html\">Emancipation</a> is the legal process of obtaining adulthood. "
"Juvenile Services";;"Are medical services available to my child while in detention?";"Once your child is detained, you will be asked to sign a Health Consent Waiver which authorizes a health assessment by our medical staff. This assessment may include a medical, dental and psychiatric history, review of immunization history and update of immunizations as needed including influenza vaccine, laboratory and/or diagnostic tests to detect communicable diseases including tuberculosis and a medical examination by a physician or Advanced Practitioner of Nursing. "
"Juvenile Services";;"How can my child get a Work Permit?";" 

Information about and the requirements for Juvenile Work Permits can be found by calling 325-7801"
"Law Library";"Law Library";"Is the Washoe County Law Library open to the public? ";"
Yes, the Law Library serves the courts, the bar and the general public. A law library circulation card is not required to come into the Law Library and use library resources in the library."
"Law Library";"Law Library";"Does the Law Library staff answer reference questions by phone?";"Yes. The library staff will respond to telephone inquires regarding the library`s holdings and other legal resources, and will respond to specific short answer requests. However, the staff will not read statutes, regulations, court rules, or extended passages from other sources over the phones. "
"Law Library";"Law Library";"What is the Lawyer in the Library program?";"Talk with a volunteer lawyer for a few minutes about your legal problem for free! This program provides a brief consultation with an attorney for a few minutes, not extensive legal advice.

Held every Wednesday evening from 5:00-7:00 pm at the Law Library. Sign-ups are taken no sooner than 4:30 pm. "
"Library";"About the Library";"Does the Library offer free wireless Internet access?";"We have free wireless internet access available at seven of our libraries, <b>Downtown, Incline Village, North Valleys, Northwest Reno, Sierra View, South Valleys, Spanish Springs and Sparks.</b> We are hoping to provide wireless internet access at more of branches as soon as possible!"
"Library";"About the Library";"What are the policies and procedures for borrowing items from the library?";"<b>How to get a library card</b>

All you need to get a borrower's card from Washoe County Library is proof of residence in Nevada and a photo ID.  There is no charge.  Acceptable identification includes:<ul>
<li>Valid Nevada driver's license or Nevada identification card</li>
<li>Local bank checks with imprinted address</li>
<li>Local utility or phone bill</li>
<li>Current rent receipt or lease showing at least one month's residence</li>
</ul>
There are other acceptable forms of identification, but these are the most commonly used.  There is <a href=\"/library/lib_card.html\">a short application form to fill out</a> as well.

Minors may obtain a card by showing local school identification from the current school year, or by their accompanying parent or guardian showing acceptable identification.

Non-Nevada residents may obtain a card if they own property or a business in Washoe County, are employed in Washoe County, or attend school in Washoe County.  Proof of such ownership or employment is required.  For non-Nevada residents not meeting these requirements, a card is available for a $50 annual fee.

<b>Checking out items</b>

To check out any items from the library, you will need your library card or photo ID.

Most library branches will give you a printed receipt with your due dates listed for each item, or each item will be stamped with the due date.

You may check out as many items as you wish to be responsible for, with the exception of limits on certain smaller collections and audiovisual materials.

Bags are usually available, but it is always helpful to bring your own if you think you will need it.

<b>Loan periods</b>

The loan period for most items is three weeks.

Certain items which are specially checked out, such as reference materials or items borrowed from other library systems, have shorter loan periods.

<b>Returning items</b>

Library items may be returned to any branch of Washoe County Library, regardless of which branch they were checked out from.

Most branches have a slot to drop off books after hours.  If you drop off a book the night of the due date, the item will not be considered late.  Check with your branch for drop slot availability and location.

<b>Renewals</b>

All items may be renewed one time after being checked out, unless the item has been placed on hold for another patron.

Overdue items may be renewed to stop the accrual of fines, but fines will be charged for the number of days that the item is overdue. 

Renewals can be made online though  our <a href=\"http://catalog.washoe.lib.nv.us/\">library catalog </a>at any time.  Instructions on how to renew your own materils are here. Renewals may also be made over the phone by calling any library branch and giving them your card number. You may write the new due date in, but it will not be stamped. You are responsible for knowing when the books are due.

Items may be renewed without having the items present. If you have your card, items left at home may be renewed when you visit a branch.

<b>Fines</b>

Adult Library Cardholders: 20 cents per day per item, maximum fine per item $7.00. Minor Library Cardholders (age 17 and younger): 10 cents per day per item, maximum fine per item $2.00."
"Library";"About the Library";"Forgot the PIN to access your Library account?";"Your PIN is the last four digits of your phone number.  When entering your library card number, be sure to enter the entire number without any spaces."
"Library";"About the Library";"How can I renew a library book?";"Instructions on how to renew your own materials are here.
<br><ul><li>Go to <a href=\"http://library.washoecounty.us/\">the library catalog</a></li>
<li>Call <b>775-785-4149</b> to renew items by phone, hear items checked out, and review items on hold using your library card and numerical PIN (patrons using PINâ€™s with characters will need to change them to numbers).</li>
<li>You may also phone any branch that's open. The friendly librarians will renew your materials for you, if no one else has requested them.
<br>A list of library hours and phone numbers is <a href=\"/library/libraries.html\">here</a>.<br>
<li>All items may be renewed one time after being checked out, unless the item has been placed on hold for another patron.
<li>Overdue items may be renewed to stop the accrual of fines, but fines will be charged for the number of days that the item is overdue.
<li>You may write the new date in, but it will not be stamped. You are responsible for knowing when the books are due.
<li>Items may be renewed without having the items present. If you have your card, items left at home may be renewed when  you visit a branch.</li></ul>"
"Library";"About the Library";"Can I pay my library fine via the internet?";"Unfortunately, we <b>do not </b> have the capability to accept payments via the internet. Please visit any of our branch locations to settle your library account."
"Library";"About the Library";"How can I get a library card?";"You can <a href=\"/library/lib_card.html\">apply for a library card online</a> or in person at <a href=\"/library/libraries.html\">any library branch.</a> You will need to present appropriate identification as listed on the application.
"
"Library";"About the Library";"How do I get e-mail notification of my holds at the Library?";"You decide whether we notify you by <b>phone</b> or <b>email</b> for your holds. Once you have made your decision, let us know which method you prefer, just make sure you keep your phone number or email address current with us as that will be the way we get in touch with you. Just contact staff at your <a href=\"/library/libraries.html\">branch </a>to update your account."
"Library";"About the Library";"How do I place a hold on a library item?";"<li>Go to the library catalog
<li>Use the search feature to find the item you wish to place on hold.
<li>From the page of multiple search results, or, from the individual record of the item you want, click the \"Place Hold\" link.
<li>At the next window, you will be prompted to enter your library user ID and you PIN. <i>(Your user ID is your entire library card number without any spaces and your PIN should be the last four digits of your phone number.)</i>
<li>Choose your \"Pickup Library\", by clicking the arrow to the right of the box and choosing the appropriate library branch.
<li>If you want to prevent your hold from being filled for a specified time without losing your place on the hold list, click the boxes next to Suspension Start Date and Suspension End Date and enter the date you want to begin and end the suspension.
<li>When you enter the above information, click the \"Place Hold\" link.
<li>When you have entered the above information, click the \"Place Hold\" link.
<li>You can see your position on the hold list by logging into your account.
<li>For more information or help, call the library."
"Library";"About the Library";"Does the library have accelerated reading lists for Washoe County schools?";"Accelerated Reader, Scholastic Reader and Reading Renaissance are lists containing book titles, reading levels and points earned.

Each school site chooses its own titles and some lists run 100 pages or more.

Washoe County public libraries do not carry all of these school lists but we do have many of the books on the lists available for checkout.

Please call your child's school for that school's list. Phone numbers for each school are at <a href=\"http://www.washoe.k12.nv.us/schools/\">the Washoe County School District website</a> and in the local phone directory under Washoe County School District. You might also find the ARbookfind website useful in identifying reading levels and point values, but it will not tell you which books are on your school's list."
"Library";"About the Library";"How do I donate books or other items to the library?";"Washoe County Library gladly accepts donations of books and audiovisual items. Donated items are examined and may be added to the Library collections, in keeping with its <a href=\"/repository/files/8/Collection Development.pdf\">Collection Development Policy</a> and <a href=\"/repository/files/8/Gifts of Books  Library Materials.pdf\">Gifts of Books and Library Materials Policy</a>. Many items are distributed to <a href=\"/library/support.html\">the Friends of Washoe County Library</a>, for sale at their community booksales, whose proceeds benefit the Library.

<b>You may donate:</b>
<ul>
<li> Books in <b>good condition</b> (with covers, pages intact, clean, without markings, etc.)</li>
<li> Hardback and paperback books</li>
<li> Audiovisual items (CDs, DVDs, computer software, videos, books on tape, records, etc.)</li>
<li> Items for adults and children</li>
</ul><b>Items not generally needed<sup>*</sup>:</b>
<ul>
<li> Encyclopedias more than five years old</li>
<li> College textbooks more than five years old</li>
<li> <i>Reader's Digest</i> condensed books</li>
<li> <i>National Geographic</i> magazine</li>
</ul><span style=\"font-size:xx-small;margin-left:2em;\">
<sup>*</sup> these items have limited use and we receive more donations than we can use, sell or give away
</span>
Other charities <b>MAY</b> accept these donations:

<a href=\"http://www.e-collaborative.org/crayons_to_computers.html\">WCSD's Education Alliance</a> 
<a href=\"http://www.satruck.org/donate-goods\">Salvation Army</a>
<a href=\"http://www.savers.com\">Savers</a>, etc. 

<b>How to donate:</b>

<b> Call ahead to the library of your choice</b> for drop-off times, locations and items desired. Most libraries accept donations. 
<a href=\"/library/libraries.html\">Library locations and phone numbers</a> can be found at on the library website.  <b>OR</b> you can donate directly to the Friends of Washoe County Library for their booksales by taking them to the Friends Book Warehouse at 125 Gentry Way, around the back side of the building, between the hours of 10am and 12pm, Tuesday through Friday. If you need to contact the Friends directly, please call (775) 324-5522.

Library staff will accept your donation and provide you with an acknowledgement if you wish. We do not place a cash value on the donation but will acknowledge the quantity donated.

The Library and the Friends are not able to pick up donations. If you have a special need, you may contact the Library's Development Officer at (775) 327-8360.

We appreciate your donations. These items strengthen our libraries and help us raise needed dollars, too!"
"Library";"About the Library";"Can I suggest that the library purchase a book or other item?";"Yes, you can. Just use <a href=\"/library/purchase.html\">this form.</a>
<b>Please Note:</b> We may or may not actually purchase the book or other item that you request. We will evaluate your request in accordance with our <a href=\"/repository/files/8/Collection%20Development.pdf\">Collection Development Policy</a> and our budget. If we do purchase the item, it could be several weeks or longer before it is available. We will automatically put it on hold for you, so you will be notified when the item is available. If you have an urgent need for the item, please consider submitting an Interlibrary Loan request. If you would like to purchase the book yourself, then donate it to the library, please refer to our procedures for donating books and other library materials."
"Library";"About the Library";"How do I get a list of all the DVDs the library owns?";"If you want to see <b>ALL</b> of the <b>DVDs</b> the library owns (which includes children's, how-to, documentary, movies, etc.), you would go to the advanced search screen at: 
<a href=\"http://library.washoecounty.us/uhtbin/cgisirsi/SEp1pOn3ut/RN/285190122/60/1182/X\"> Library Catalog</a>

From that screen type in 'DVD' (without quotes) into the first box, labeled 'General.'
Then, further down, from the 'Item Group' option, choose 'DVDs' from the choices.

That will give you everything, all 11,500+ of them.

If all you want are movies, you would do the same thing, only instead of 'DVD' under 'General', you would put in 'Feature films' under 'Subject.'

You can also search for particular topics, titles, and performers using the appropriate search fields, title, and author, respectively."
"Library";"About the Library";"Can I FAX items at the Library?";"The following Libraries have FAX machines for use by the public. 
â€¢	Senior Center Library
â€¢	South Valleys Library
â€¢	Spanish Springs Library
"
"Library";"About the Library";"Can I scan items at the Library?";"All Washoe County Libraries have a flatbed scanner for you to use.  Ask a Librarian which computer to use for scanning."
"Library";"Genealogy";"Where can I get a Nevada birth or death record?";"There is a fee for these items. Contact:

Office of Vital Records
4150 Technology Way, Suite 104
Carson City NV 89706
Telephone: (775) 684-4242
Fax: (775) 684-4156

For birth and death records <b>in Washoe County,</b> contact <a href=\"http://www.washoecounty.us/health/ahs/bdr.html\">the District Health Department.</a>

A commercial site that offers a related service (not endorsed by the library) is <a href=\"http://www.vitalchek.com/\">VitalChek.</a>"
"Library";"Genealogy";"Is there a listing of marriages and divorces in Nevada?";"The Downtown Reno Library has microfiche records listing all divorces and marriages reported to the Nevada State Division of Health, beginning with 1968. The records are current through August 2005.

To request a search of these records, call 775-327-8312 or send e-mail to informationservices@washoecounty.us. Be sure to include your name, contact information, plus the name(s) you want searched and (if known) the location and date of marriage.

For information on obtaining a certified copy of Decree of Divorce visit the Washoe County Courts website by clicking <a href=\"http://www.washoecourts.com\">
here</a> or calling (775) 328-3110.

For information on marriage applications and certificates visit the Washoe County Clerkâ€™s website <a href=\"http://www.co.washoe.nv.us/clerks/search_marriage.php\">here</a> or calling (775) 328-3274.

To search Clark County marriage records, please visit the Clark County Recorderâ€™s website <a href=\"http://www.clarkcountynv.gov/Depts/recorder/Pages/Marriage.aspx\">here</a> or calling (702) 455-0000.
"
"Library";"Genealogy";"Where can I get a copy of a marriage certificate?";"Our library does not have marriage certificates, but you can request a copy for $10.00 from:

Washoe County Recorder
1001 E. 9th Street
P.O. Box 11130
Reno, Nevada 89520-0027
(775) 328-3660
<a href=\"http://www.washoecounty.us/recorder/copyofmarriagecertificate.html\">www.washoecounty.us/recorder/copyofmarriagecertificate.html</a>

To order a Clark County (Las Vegas) marriage certificate, <a href=\"http://www.clarkcountynv.gov/Depts/recorder/Pages/Marriage.aspx\">click here.</a>"
"Library";"Genealogy";"Where can I find genealogy information in the Reno/Sparks area?";"The <a href=\"http://www.renolds.org/familyhistory/\">Reno Family History Center </a>is a branch of the <a href=\"http://www.familysearch.org/eng/default.asp\">Family History Library in Salt Lake City</a>. The Center provides access to most of the microfilms and microfiche in the Family History Library to help patrons identify their ancestors.

<a href=\"http://www.renolds.org/familyhistory/\">Reno Family History Center</a>
4751 Neil Road
Reno, NV 89502
(775) 826-1130"
